2022-07-23 11:20:12,367 | INFO | ulauncher: main() | Ulauncher version 5.14.4
2022-07-23 11:20:12,367 | INFO | ulauncher: main() | Extension API version 2.0.0
2022-07-23 11:20:12,368 | INFO | ulauncher: main() | GTK+ 3.24.34
2022-07-23 11:20:12,368 | INFO | ulauncher: main() | Is Wayland: False
2022-07-23 11:20:12,368 | INFO | ulauncher: main() | Wayland compatibility: off
2022-07-23 11:20:12,381 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2022-07-23 11:20:12,383 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2022-07-23 11:20:12,383 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2022-07-23 11:20:12,383 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2022-07-23 11:20:12,383 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2022-07-23 11:20:12,384 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2022-07-23 11:20:12,384 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2022-07-23 11:20:12,384 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2022-07-23 11:20:12,384 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2022-07-23 11:20:12,384 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2022-07-23 11:20:12,385 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-07-23 11:20:12,385 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
